"","id","uid","label","os","emoji_id","unicode","emoji"
"1",1,"z35L6Q9RsKTFIZ1si7w1pOAxcdQ5E7MX","na","iPhone",177,"2502","│"
"2",2,"z35L6Q9RsKTFIZ1si7w1pOAxcdQ5E7MX","na","iPhone",21,"1f648","🙈"
"3",3,"dAX2R37ExQcQNWRYTo62dpACjq9mdDWB","happy","MacIntel",20,"1f64c","🙌"
"4",4,"ULvqfcNNfS7C5wE9xenh8Km7GaMVBRGM","neutral","MacIntel",193,"1f478","👸"
"5",5,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",27,"1f603","😃"
"6",6,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","angry","MacIntel",98,"1f620","😠"
"7",7,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","afraid","MacIntel",32,"262f","☯"
"8",8,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","afraid","MacIntel",37,"1f633","😳"
"9",9,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",140,"1f48f","💏"
"10",10,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","afraid","MacIntel",108,"1f628","😨"
"11",11,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",67,"1f480","💀"
"12",12,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","na","MacIntel",154,"25aa","▪"
"13",13,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",114,"2714","✔"
"14",14,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",75,"2615","☕"
"15",15,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","disgusted","MacIntel",110,"1f4a4","💤"
"16",16,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","happy","MacIntel",188,"1f49d","💝"
"17",17,"Xjwkx0WS8LGC6nQDSuOQ8tOGjeqTpnT6","sad","MacIntel",181,"1f632","😲"
"18",18,"SB5BkT0lQG0MsdpOzlXtmkE2smuIkGun","happy","iPhone",13,"2661","♡"
"19",19,"SB5BkT0lQG0MsdpOzlXtmkE2smuIkGun","na","iPhone",49,"1f3b6","🎶"
