"","Emoji","unified","Occurrences","Position","Negative","Neutral","Positive","name","Unicode.block","top_rank","next_top"
"1","😂","1f602",14622,0.805100583,3614,4163,6845,"FACE WITH TEARS OF JOY","Emoticons","happy","neutral"
"2","❤","2764",8050,0.746943086,355,1334,6361,"HEAVY BLACK HEART","Dingbats","happy","neutral"
"3","♥","2665",7144,0.753806008,252,1942,4950,"BLACK HEART SUIT","Miscellaneous Symbols","happy","neutral"
"4","😍","1f60d",6359,0.765292366,329,1390,4640,"SMILING FACE WITH HEART-SHAPED EYES","Emoticons","happy","neutral"
"5","😭","1f62d",5526,0.803351976,2412,1218,1896,"LOUDLY CRYING FACE","Emoticons","sad","neutral"
"6","😘","1f618",3648,0.854480172,193,702,2753,"FACE THROWING A KISS","Emoticons","happy","neutral"
"7","😊","1f60a",3186,0.813302436,189,754,2243,"SMILING FACE WITH SMILING EYES","Emoticons","happy","neutral"
"8","👌","1f44c",2925,0.805222883,274,728,1923,"OK HAND SIGN","Miscellaneous Symbols and Pictographs","happy","neutral"
"9","💕","1f495",2400,0.765725889,99,683,1618,"TWO HEARTS","Miscellaneous Symbols and Pictographs","happy","neutral"
"10","👏","1f44f",2336,0.787130164,243,634,1459,"CLAPPING HANDS SIGN","Miscellaneous Symbols and Pictographs","happy","neutral"
"11","😁","1f601",2189,0.796151187,278,648,1263,"GRINNING FACE WITH SMILING EYES","Emoticons","happy","neutral"
"12","☺","263a",2062,0.798633582,128,449,1485,"WHITE SMILING FACE","Miscellaneous Symbols","happy","neutral"
"13","♡","2661",1975,0.763695423,102,448,1425,"WHITE HEART SUIT","Miscellaneous Symbols","happy","neutral"
"14","👍","1f44d",1854,0.812125626,213,460,1181,"THUMBS UP SIGN","Miscellaneous Symbols and Pictographs","happy","neutral"
"15","😩","1f629",1808,0.826213985,1069,336,403,"WEARY FACE","Emoticons","sad","disgusted"
"16","🙏","1f64f",1539,0.793847592,124,648,767,"PERSON WITH FOLDED HANDS","Emoticons","neutral","happy"
"17","✌","270c",1534,0.790480332,173,476,885,"VICTORY HAND","Dingbats","happy","neutral"
"18","😏","1f60f",1522,0.764977294,170,676,676,"SMIRKING FACE","Emoticons","happy","neutral"
"19","😉","1f609",1521,0.844832651,151,513,857,"WINKING FACE","Emoticons","happy","na"
"20","🙌","1f64c",1506,0.790600034,152,358,996,"PERSON RAISING BOTH HANDS IN CELEBRATION","Emoticons","happy","neutral"
"21","🙈","1f648",1456,0.738880937,238,350,868,"SEE-NO-EVIL MONKEY","Emoticons","neutral","happy"
"22","💪","1f4aa",1409,0.806704098,101,424,884,"FLEXED BICEPS","Miscellaneous Symbols and Pictographs","neutral","happy"
"23","😄","1f604",1398,0.794972621,191,426,781,"SMILING FACE WITH OPEN MOUTH AND SMILING EYES","Emoticons","happy","neutral"
"24","😒","1f612",1385,0.857620553,819,266,300,"UNAMUSED FACE","Emoticons","angry","disgusted"
"25","💃","1f483",1344,0.852764705,59,237,1048,"DANCER","Miscellaneous Symbols and Pictographs","happy","neutral"
"26","💖","1f496",1263,0.762239109,54,254,955,"SPARKLING HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"27","😃","1f603",1206,0.734782211,86,361,759,"SMILING FACE WITH OPEN MOUTH","Emoticons","happy","neutral"
"28","😔","1f614",1205,0.86614594,559,263,383,"PENSIVE FACE","Emoticons","sad","neutral"
"29","😱","1f631",1130,0.773313178,298,319,513,"FACE SCREAMING IN FEAR","Emoticons","surprised","afraid"
"30","🎉","1f389",1125,0.743635879,43,207,875,"PARTY POPPER","Miscellaneous Symbols and Pictographs","happy","neutral"
"31","😜","1f61c",1035,0.822246602,115,333,587,"FACE WITH STUCK-OUT TONGUE AND WINKING EYE","Emoticons","happy","na"
"32","☯","262f",992,0.383524015,5,981,6,"YIN YANG","Miscellaneous Symbols","neutral","happy"
"33","🌸","1f338",946,0.570021571,37,255,654,"CHERRY BLOSSOM","Miscellaneous Symbols and Pictographs","neutral","happy"
"34","💜","1f49c",939,0.730869962,41,241,657,"PURPLE HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"35","💙","1f499",912,0.703047577,29,186,697,"BLUE HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"36","✨","2728",848,0.560430162,43,463,342,"SPARKLES","Dingbats","neutral","happy"
"37","😳","1f633",846,0.797185814,277,277,292,"FLUSHED FACE","Emoticons","surprised","afraid"
"38","💗","1f497",836,0.799725947,42,201,593,"GROWING HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"39","★","2605",828,0.353316599,25,543,260,"BLACK STAR","Miscellaneous Symbols","neutral","happy"
"40","█","2588",798,0.634172164,71,682,45,"FULL BLOCK","Block Elements","neutral","na"
"41","☀","2600",786,0.54553079,21,377,388,"BLACK SUN WITH RAYS","Miscellaneous Symbols","happy","neutral"
"42","😡","1f621",756,0.861522028,403,81,272,"POUTING FACE","Emoticons","angry","sad"
"43","😎","1f60e",754,0.76564387,79,224,451,"SMILING FACE WITH SUNGLASSES","Emoticons","happy","neutral"
"44","😢","1f622",749,0.813896833,288,168,293,"CRYING FACE","Emoticons","sad","neutral"
"45","💋","1f48b",734,0.800580592,28,169,537,"KISS MARK","Miscellaneous Symbols and Pictographs","happy","neutral"
"46","😋","1f60b",734,0.76498518,33,203,498,"FACE SAVOURING DELICIOUS FOOD","Emoticons","happy","na"
"47","🙊","1f64a",725,0.740523086,97,197,431,"SPEAK-NO-EVIL MONKEY","Emoticons","neutral","surprised"
"48","😴","1f634",718,0.849922938,303,170,245,"SLEEPING FACE","Emoticons","neutral","na"
"49","🎶","1f3b6",701,0.797255889,67,189,445,"MULTIPLE MUSICAL NOTES","Miscellaneous Symbols and Pictographs","happy","neutral"
"50","💞","1f49e",687,0.828705997,27,123,537,"REVOLVING HEARTS","Miscellaneous Symbols and Pictographs","happy","neutral"
"51","😌","1f60c",665,0.847121229,93,157,415,"RELIEVED FACE","Emoticons","happy","neutral"
"52","🔥","1f525",651,0.61555041,80,400,171,"FIRE","Miscellaneous Symbols and Pictographs","neutral","angry"
"53","💯","1f4af",637,0.871819418,179,202,256,"HUNDRED POINTS SYMBOL","Miscellaneous Symbols and Pictographs","neutral","happy"
"54","🔫","1f52b",604,0.893761284,298,126,180,"PISTOL","Miscellaneous Symbols and Pictographs","neutral","angry"
"55","💛","1f49b",602,0.751631631,25,123,454,"YELLOW HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"56","💁","1f481",549,0.839628793,105,159,285,"INFORMATION DESK PERSON","Miscellaneous Symbols and Pictographs","neutral","happy"
"57","💚","1f49a",537,0.737498972,41,101,395,"GREEN HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"58","♫","266b",533,0.396607039,33,313,187,"BEAMED EIGHTH NOTES","Miscellaneous Symbols","neutral","happy"
"59","😞","1f61e",532,0.825187832,255,85,192,"DISAPPOINTED FACE","Emoticons","sad","neutral"
"60","😆","1f606",527,0.809376422,81,148,298,"SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES","Emoticons","happy","surprised"
"61","😝","1f61d",496,0.808808972,65,155,276,"FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES","Emoticons","happy","disgusted"
"62","😪","1f62a",482,0.858219873,208,105,169,"SLEEPY FACE","Emoticons","sad","neutral"
"63","�","fffd",472,0.11293316,78,275,119,"REPLACEMENT CHARACTER","Specials","neutral","na"
"64","😫","1f62b",467,0.839517641,227,81,159,"TIRED FACE","Emoticons","sad","neutral"
"65","😅","1f605",462,0.827654572,135,109,218,"SMILING FACE WITH OPEN MOUTH AND COLD SWEAT","Emoticons","happy","surprised"
"66","👊","1f44a",458,0.824515864,121,111,226,"FISTED HAND SIGN","Miscellaneous Symbols and Pictographs","angry","happy"
"67","💀","1f480",456,0.739462262,214,123,119,"SKULL","Miscellaneous Symbols and Pictographs","neutral","angry"
"68","😀","1f600",439,0.786284933,37,114,288,"GRINNING FACE","Emoticons","happy","na"
"69","😚","1f61a",424,0.853414944,20,81,323,"KISSING FACE WITH CLOSED EYES","Emoticons","happy","neutral"
"70","😻","1f63b",417,0.729665769,28,101,288,"SMILING CAT FACE WITH HEART-SHAPED EYES","Emoticons","happy","na"
"71","©","a9",416,0.740148376,54,259,103,"COPYRIGHT SIGN","Latin-1 Supplement","neutral","na"
"72","👀","1f440",410,0.759422009,93,198,119,"EYES","Miscellaneous Symbols and Pictographs","surprised","neutral"
"73","💘","1f498",395,0.785036942,18,87,290,"HEART WITH ARROW","Miscellaneous Symbols and Pictographs","happy","neutral"
"74","🐓","1f413",384,0.490808466,41,291,52,"ROOSTER","Miscellaneous Symbols and Pictographs","neutral","na"
"75","☕","2615",382,0.685215074,53,182,147,"HOT BEVERAGE","Miscellaneous Symbols","neutral","happy"
"76","👋","1f44b",382,0.797944108,60,103,219,"WAVING HAND SIGN","Miscellaneous Symbols and Pictographs","neutral","happy"
"77","✋","270b",378,0.838291817,124,82,172,"RAISED HAND","Dingbats","neutral","angry"
"78","🎊","1f38a",363,0.72362175,20,59,284,"CONFETTI BALL","Miscellaneous Symbols and Pictographs","happy","neutral"
"79","🍕","1f355",352,0.544580757,19,166,167,"SLICE OF PIZZA","Miscellaneous Symbols and Pictographs","neutral","happy"
"80","❄","2744",349,0.760181984,34,103,212,"SNOWFLAKE","Dingbats","neutral","na"
"81","😥","1f625",341,0.881976694,108,83,150,"DISAPPOINTED BUT RELIEVED FACE","Emoticons","sad","happy"
"82","😕","1f615",340,0.856711865,205,66,69,"CONFUSED FACE","Emoticons","sad","neutral"
"83","💥","1f4a5",329,0.587206232,23,234,72,"COLLISION SYMBOL","Miscellaneous Symbols and Pictographs","angry","neutral"
"84","💔","1f494",328,0.835831574,136,96,96,"BROKEN HEART","Miscellaneous Symbols and Pictographs","sad","neutral"
"85","😤","1f624",327,0.884007985,157,82,88,"FACE WITH LOOK OF TRIUMPH","Emoticons","angry","happy"
"86","😈","1f608",325,0.762497655,66,106,153,"SMILING FACE WITH HORNS","Emoticons","angry","happy"
"87","►","25ba",325,0.516489206,40,192,93,"BLACK RIGHT-POINTING POINTER","Geometric Shapes","neutral","na"
"88","✈","2708",322,0.521940266,13,161,148,"AIRPLANE","Dingbats","neutral","happy"
"89","🔝","1f51d",303,0.798433666,26,106,171,"TOP WITH UPWARDS ARROW ABOVE","Miscellaneous Symbols and Pictographs","neutral","happy"
"90","😰","1f630",302,0.919654285,132,44,126,"FACE WITH OPEN MOUTH AND COLD SWEAT","Emoticons","sad","afraid"
"91","⚽","26bd",299,0.193496177,15,83,201,"SOCCER BALL","Miscellaneous Symbols","neutral","happy"
"92","😑","1f611",299,0.844272967,154,85,60,"EXPRESSIONLESS FACE","Emoticons","neutral","angry"
"93","👑","1f451",298,0.698804832,12,65,221,"CROWN","Miscellaneous Symbols and Pictographs","neutral","happy"
"94","😹","1f639",295,0.8074145,88,77,130,"CAT FACE WITH TEARS OF JOY","Emoticons","happy","na"
"95","👉","1f449",292,0.559175629,20,137,135,"WHITE RIGHT POINTING BACKHAND INDEX","Miscellaneous Symbols and Pictographs","neutral","na"
"96","🍃","1f343",291,0.572324349,29,122,140,"LEAF FLUTTERING IN WIND","Miscellaneous Symbols and Pictographs","neutral","na"
"97","🎁","1f381",288,0.709181399,11,45,232,"WRAPPED PRESENT","Miscellaneous Symbols and Pictographs","happy","neutral"
"98","😠","1f620",288,0.849218089,163,49,76,"ANGRY FACE","Emoticons","angry","disgusted"
"99","🐧","1f427",284,0.540408727,11,131,142,"PENGUIN","Miscellaneous Symbols and Pictographs","neutral","happy"
"100","☆","2606",282,0.563398192,8,144,130,"WHITE STAR","Miscellaneous Symbols","neutral","happy"
"101","🍀","1f340",278,0.768496291,6,186,86,"FOUR LEAF CLOVER","Miscellaneous Symbols and Pictographs","neutral","happy"
"102","🎈","1f388",277,0.718504213,4,68,205,"BALLOON","Miscellaneous Symbols and Pictographs","happy","happy"
"103","🎅","1f385",274,0.800786662,7,172,95,"FATHER CHRISTMAS","Miscellaneous Symbols and Pictographs","happy","neutral"
"104","😓","1f613",273,0.844887359,118,59,96,"FACE WITH COLD SWEAT","Emoticons","sad","afraid"
"105","😣","1f623",271,0.903307721,147,35,89,"PERSEVERING FACE","Emoticons","disgusted","disgusted"
"106","😐","1f610",270,0.882732825,150,76,44,"NEUTRAL FACE","Emoticons","neutral","angry"
"107","✊","270a",270,0.858608998,37,79,154,"RAISED FIST","Dingbats","neutral","angry"
"108","😨","1f628",269,0.813687927,117,73,79,"FEARFUL FACE","Emoticons","afraid","surprised"
"109","😖","1f616",268,0.868926665,130,50,88,"CONFOUNDED FACE","Emoticons","disgusted","sad"
"110","💤","1f4a4",267,0.800461854,38,91,138,"SLEEPING SYMBOL","Miscellaneous Symbols and Pictographs","neutral","happy"
"111","💓","1f493",259,0.783045488,15,55,189,"BEATING HEART","Miscellaneous Symbols and Pictographs","happy","neutral"
"112","👎","1f44e",258,0.914491346,128,51,79,"THUMBS DOWN SIGN","Miscellaneous Symbols and Pictographs","sad","disgusted"
"113","💦","1f4a6",252,0.779043752,35,62,155,"SPLASHING SWEAT SYMBOL","Miscellaneous Symbols and Pictographs","neutral","na"
"114","✔","2714",249,0.565237075,31,119,99,"HEAVY CHECK MARK","Dingbats","neutral","happy"
"115","😷","1f637",246,0.840376534,117,54,75,"FACE WITH MEDICAL MASK","Emoticons","neutral","sad"
"116","⚡","26a1",246,0.778780762,10,182,54,"HIGH VOLTAGE SIGN","Miscellaneous Symbols","neutral","angry"
"117","🙋","1f64b",236,0.732500422,30,60,146,"HAPPY PERSON RAISING ONE HAND","Emoticons","happy","neutral"
"118","🎄","1f384",236,0.632526433,15,79,142,"CHRISTMAS TREE","Miscellaneous Symbols and Pictographs","neutral","happy"
"119","💩","1f4a9",229,0.839720048,94,68,67,"PILE OF POO","Miscellaneous Symbols and Pictographs","disgusted","neutral"
"120","🎵","1f3b5",223,0.71526961,23,64,136,"MUSICAL NOTE","Miscellaneous Symbols and Pictographs","neutral","happy"
"121","➡","27a1",222,0.478330444,2,185,35,"BLACK RIGHTWARDS ARROW","Dingbats","neutral","na"
"122","😛","1f61b",220,0.734419263,18,50,152,"FACE WITH STUCK-OUT TONGUE","Emoticons","happy","neutral"
"123","😬","1f62c",214,0.793679841,57,58,99,"GRIMACING FACE","Emoticons","afraid","na"
"124","👯","1f46f",211,0.742043843,24,69,118,"WOMAN WITH BUNNY EARS","Miscellaneous Symbols and Pictographs","happy","neutral"
"125","💎","1f48e",209,0.694054736,11,68,130,"GEM STONE","Miscellaneous Symbols and Pictographs","neutral","happy"
"126","🌿","1f33f",208,0.600120585,1,125,82,"HERB","Miscellaneous Symbols and Pictographs","neutral","na"
"127","🎂","1f382",201,0.747999917,16,44,141,"BIRTHDAY CAKE","Miscellaneous Symbols and Pictographs","happy","neutral"
"128","🌟","1f31f",199,0.654510913,11,111,77,"GLOWING STAR","Miscellaneous Symbols and Pictographs","neutral","happy"
"129","🔮","1f52e",199,0.333161733,6,133,60,"CRYSTAL BALL","Miscellaneous Symbols and Pictographs","neutral","na"
"130","❗","2757",198,0.620120854,31,116,51,"HEAVY EXCLAMATION MARK SYMBOL","Dingbats","surprised","neutral"
"131","👫","1f46b",197,0.664270589,43,60,94,"MAN AND WOMAN HOLDING HANDS","Miscellaneous Symbols and Pictographs","happy","neutral"
"132","🏆","1f3c6",194,0.705937446,6,39,149,"TROPHY","Miscellaneous Symbols and Pictographs","neutral","happy"
"133","✖","2716",193,0.514517152,8,116,69,"HEAVY MULTIPLICATION X","Dingbats","neutral","na"
"134","☝","261d",191,0.7597726,27,77,87,"WHITE UP POINTING INDEX","Miscellaneous Symbols","neutral","happy"
"135","😙","1f619",191,0.875675106,3,34,154,"KISSING FACE WITH SMILING EYES","Emoticons","happy","na"
"136","⛄","26c4",191,0.738724736,14,62,115,"SNOWMAN WITHOUT SNOW","Miscellaneous Symbols","happy","neutral"
"137","👅","1f445",190,0.738179133,23,55,112,"TONGUE","Miscellaneous Symbols and Pictographs","happy","neutral"
"138","♪","266a",190,0.696314423,15,57,118,"EIGHTH NOTE","Miscellaneous Symbols","neutral","happy"
"139","🍂","1f342",189,0.634540658,6,72,111,"FALLEN LEAF","Miscellaneous Symbols and Pictographs","neutral","happy"
"140","💏","1f48f",185,0.72895246,33,46,106,"KISS","Miscellaneous Symbols and Pictographs","happy","neutral"
"141","🔪","1f52a",183,0.764046479,38,94,51,"HOCHO","Miscellaneous Symbols and Pictographs","angry","neutral"
"142","🌴","1f334",178,0.675890052,13,57,108,"PALM TREE","Miscellaneous Symbols and Pictographs","neutral","happy"
"143","👈","1f448",174,0.701409121,14,71,89,"WHITE LEFT POINTING BACKHAND INDEX","Miscellaneous Symbols and Pictographs","neutral","na"
"144","🌹","1f339",172,0.664431116,3,61,108,"ROSE","Miscellaneous Symbols and Pictographs","happy","neutral"
"145","🙆","1f646",171,0.839916616,15,54,102,"FACE WITH OK GESTURE","Emoticons","happy","neutral"
"146","➜","279c",170,0.558506642,8,126,36,"HEAVY ROUND-TIPPED RIGHTWARDS ARROW","Dingbats","neutral","na"
"147","👻","1f47b",168,0.740824428,28,73,67,"GHOST","Miscellaneous Symbols and Pictographs","happy","neutral"
"148","💰","1f4b0",168,0.827466509,26,73,69,"MONEY BAG","Miscellaneous Symbols and Pictographs","neutral","happy"
"149","🍻","1f37b",165,0.745306588,17,45,103,"CLINKING BEER MUGS","Miscellaneous Symbols and Pictographs","happy","neutral"
"150","🙅","1f645",165,0.838871886,76,47,42,"FACE WITH NO GOOD GESTURE","Emoticons","neutral","disgusted"
